Contract,Delivery Period,Open Price,High Price,Low Price,Last Price,Volume,Trade Unit,Traded Contracts,Settlement Price,Open Interest Contracts (prev. day),Open Interest EUA (prev. day),Contract Volume,Exchange Volume EUA,Exchange Traded Contracts,Exchange Number of Trades,TradeReg Volume EUA,TradeReg Traded Contracts,TradeReg Number of Trades,Exchange Volume,TradeReg Volume,Open Interest Contracts,Open Interest,Open Interest EUA,Trading Day,Contract Number
FEUA,2013-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,17.14,0.0,0.0,,,,,,,,,,,,,2010-06-30,1
FEUA,2014-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,18.15,0.0,0.0,,,,,,,,,,,,,2010-06-30,2
FEUA,2013-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,17.21,0.0,0.0,,,,,,,,,,,,,2010-07-01,1
FEUA,2014-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,18.15,0.0,0.0,,,,,,,,,,,,,2010-07-01,2
FEUA,2013-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,17.31,0.0,0.0,,,,,,,,,,,,,2010-07-02,1
FEUA,2014-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,18.26,0.0,0.0,,,,,,,,,,,,,2010-07-02,2
FEUA,2013-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,17.34,0.0,0.0,,,,,,,,,,,,,2010-07-05,1
FEUA,2014-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,18.37,0.0,0.0,,,,,,,,,,,,,2010-07-05,2
FEUA,2013-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,17.18,0.0,0.0,,,,,,,,,,,,,2010-07-06,1
FEUA,2014-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,18.17,0.0,0.0,,,,,,,,,,,,,2010-07-06,2
FEUA,2013-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,16.84,0.0,0.0,,,,,,,,,,,,,2010-07-07,1
FEUA,2014-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,17.78,0.0,0.0,,,,,,,,,,,,,2010-07-07,2
FEUA,2013-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,16.38,0.0,0.0,,,,,,,,,,,,,2010-07-08,1
FEUA,2014-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,17.32,0.0,0.0,,,,,,,,,,,,,2010-07-08,2
FEUA,2013-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,16.64,0.0,0.0,,,,,,,,,,,,,2010-07-09,1
FEUA,2014-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,17.61,0.0,0.0,,,,,,,,,,,,,2010-07-09,2
FEUA,2013-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,16.09,0.0,0.0,,,,,,,,,,,,,2010-07-12,1
FEUA,2014-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,17.05,0.0,0.0,,,,,,,,,,,,,2010-07-12,2
FEUA,2013-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,15.81,0.0,0.0,,,,,,,,,,,,,2010-07-13,1
FEUA,2014-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,16.72,0.0,0.0,,,,,,,,,,,,,2010-07-13,2
FEUA,2013-12,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,15.98,0.0,0.0,,,,,,,,,,,,,2010-07-14,1
